rnn_type,units,learning_rate,dropout,batch_size,optimizer,output_activation,best_val_loss,r2_val,rmse_val,mae_val,epochs_trained
RNN,3,0.001,0.0,64,rmsprop,relu,0.027001041918992996,0.8885625551876093,0.16431993589361302,0.10241847104519605,156
RNN,3,0.001,0.0,64,adam,relu,0.06500933319330215,0.07707378111615004,0.4728878720468202,0.35656597423782943,20
RNN,3,0.0005,0.0,64,rmsprop,relu,0.21715565025806427,-0.3338220703028878,0.5684910525409979,0.4750734521496296,20
GRU,5,0.0005,0.0,64,adam,relu,0.1496555656194687,-0.4326550920153742,0.5891766245243514,0.47892994058945776,20
GRU,7,0.0005,0.0,64,rmsprop,relu,0.18216869235038757,-0.48733406639438015,0.6003146566193163,0.4475303737357035,20
LSTM,3,0.001,0.0,64,rmsprop,relu,0.13178128004074097,-0.5365314624926092,0.6101623595192295,0.5091195029956698,20
GRU,7,0.001,0.2,64,rmsprop,relu,0.07286491990089417,-0.5434151295407932,0.6115275970563037,0.49405963420870896,20
RNN,5,0.0005,0.2,64,rmsprop,relu,0.18999944627285004,-0.7004450828182689,0.641883170973806,0.5044035676533282,20
GRU,7,0.0005,0.2,64,adam,relu,0.13514742255210876,-0.7361290062809667,0.648583178386281,0.5313474737980551,20
LSTM,7,0.0005,0.2,64,rmsprop,relu,0.17800050973892212,-0.7546608753084418,0.6520355583243265,0.5425577419497073,20
LSTM,7,0.001,0.0,64,adam,relu,0.13423269987106323,-0.8592857665828608,0.6711935222475072,0.5810595339460373,20
LSTM,5,0.001,0.0,64,adam,relu,0.1535302698612213,-0.9014969515945384,0.6787697836179155,0.5931436974016429,20
RNN,7,0.0005,0.0,64,rmsprop,relu,0.09484341740608215,-0.9109852914646319,0.6804611836727776,0.5401509358689934,20
RNN,7,0.001,0.0,64,adam,relu,0.10333460569381714,-0.9461588925650266,0.6866949152536199,0.555929698417902,20
GRU,5,0.0005,0.2,64,rmsprop,relu,0.21034826338291168,-0.9586721824324849,0.6888990118471737,0.5694776587713509,20
LSTM,5,0.0005,0.2,64,rmsprop,relu,0.19694705307483673,-0.9852724340493539,0.6935611216370605,0.585955339866221,20
RNN,7,0.001,0.0,64,rmsprop,relu,0.07165728509426117,-1.0102140246469813,0.6979042345107308,0.5470778059458733,20
GRU,7,0.001,0.2,64,adam,relu,0.08878516405820847,-1.075494403936355,0.7091456896107236,0.5998242362377494,20
GRU,3,0.001,0.0,64,rmsprop,relu,0.19015970826148987,-1.0767633105922028,0.709362433676818,0.6123400455863625,20
RNN,7,0.0005,0.2,64,rmsprop,relu,0.15660107135772705,-1.0856811340181252,0.7108838377667189,0.5664304056301228,20
GRU,5,0.001,0.2,64,rmsprop,relu,0.0665351003408432,-1.1359193154563831,0.7193944875786759,0.6058373304914833,20
RNN,3,0.0005,0.2,64,adam,relu,0.2976720631122589,-1.1418163697486667,0.7203868902904047,0.5381582218796312,20
LSTM,5,0.0005,0.0,64,adam,relu,0.215993732213974,-1.269645659984639,0.7415726668233155,0.6473863542747944,20
LSTM,7,0.001,0.0,64,rmsprop,relu,0.11569325625896454,-1.273896213975915,0.7422667443829225,0.6340031731632948,20
RNN,7,0.001,0.2,64,adam,relu,0.11831947416067123,-1.4199332949291796,0.7657312680599065,0.6176734641806186,20
LSTM,3,0.001,0.2,64,rmsprop,relu,0.18682895600795746,-1.6473174958534789,0.8008989034190717,0.7045831039750277,20
RNN,5,0.0005,0.2,64,adam,relu,0.2989599406719208,-1.659772826816572,0.8027807621480536,0.6626267138549778,20
LSTM,5,0.001,0.2,64,adam,relu,0.18689201772212982,-1.682364116290631,0.8061828393854696,0.6916084809896796,20
LSTM,3,0.0005,0.0,64,rmsprop,relu,0.2204625904560089,-1.705807198841565,0.8096980773745324,0.7088756085692234,20
LSTM,5,0.001,0.2,64,rmsprop,relu,0.14179669320583344,-1.8035598914227071,0.8241942933925447,0.7106268054356127,20
GRU,5,0.001,0.0,64,rmsprop,relu,0.10537388175725937,-1.8204433026995477,0.826672272247328,0.697309501033634,20
LSTM,7,0.001,0.2,64,adam,relu,0.1535845249891281,-1.827089974024044,0.8276457691313723,0.6961065921762287,20
GRU,3,0.0005,0.0,64,rmsprop,relu,0.1987459510564804,-1.8394364320729792,0.8294510462208459,0.705657451452434,20
GRU,3,0.001,0.0,64,adam,relu,0.15959957242012024,-1.9030582144703532,0.8386921081894761,0.7503149304307773,20
RNN,5,0.001,0.0,64,rmsprop,relu,0.07591364532709122,-1.9176062100023814,0.8407909364507689,0.7634636701020598,20
GRU,5,0.001,0.2,64,adam,relu,0.19811466336250305,-1.92593413837792,0.841990045704018,0.7100809878697396,20
GRU,7,0.001,0.0,64,adam,relu,0.09188475459814072,-1.9538681403394644,0.84599975335987,0.7128670047938153,20
RNN,7,0.001,0.2,64,rmsprop,relu,0.10928972065448761,-1.9566807444095873,0.846402428105157,0.7199122433078736,20
LSTM,7,0.0005,0.0,64,adam,relu,0.1970767378807068,-1.9646644466794885,0.8475443960883814,0.727523069654487,20
GRU,5,0.001,0.0,64,adam,relu,0.1462436020374298,-1.9712407134369254,0.8484838937373205,0.7268784688894897,20
RNN,5,0.0005,0.0,64,rmsprop,relu,0.35489460825920105,-1.991199171479065,0.8513288478980064,0.7044644196008892,20
LSTM,5,0.001,0.0,64,rmsprop,relu,0.1520245373249054,-2.0717697710055782,0.862718309564539,0.7381232797766699,20
RNN,7,0.0005,0.2,64,adam,relu,0.19991500675678253,-2.0818993729350437,0.8641396075519377,0.7722242872153668,20
LSTM,7,0.001,0.2,64,rmsprop,relu,0.15862466394901276,-2.0931736510187093,0.8657187727376839,0.7337463685793131,20
RNN,5,0.001,0.2,64,rmsprop,relu,0.3617740273475647,-2.102883684460898,0.8670765321787811,0.7227939413971528,20
GRU,3,0.001,0.2,64,adam,relu,0.14316266775131226,-2.1267818719541793,0.8704092080968621,0.7504538804355337,20
RNN,3,0.001,0.2,64,adam,relu,0.16907115280628204,-2.154640818858483,0.8742781877006679,0.7107915128641129,20
GRU,3,0.0005,0.0,64,adam,relu,0.28015416860580444,-2.2143352585977496,0.8825112902907729,0.7369971672837734,20
LSTM,5,0.0005,0.2,64,adam,relu,0.22775854170322418,-2.3188519856674863,0.8967443027617997,0.7892732643026187,20
GRU,5,0.0005,0.0,64,rmsprop,relu,0.2326839566230774,-2.32814324576853,0.8979986614050248,0.7807503682484179,20
LSTM,7,0.0005,0.0,64,rmsprop,relu,0.21053530275821686,-2.3603324616424652,0.9023308540836166,0.7922659271482638,20
LSTM,3,0.001,0.2,64,adam,relu,0.16381946206092834,-2.4242980904864626,0.9108785307117404,0.7964841408345177,20
RNN,7,0.0005,0.0,64,adam,relu,0.19833141565322876,-2.442737709385908,0.9133277482631621,0.8055357234661727,20
GRU,7,0.0005,0.2,64,rmsprop,relu,0.19268690049648285,-2.452027079481292,0.9145591118964498,0.7801210477591752,20
RNN,5,0.001,0.0,64,adam,relu,0.11842595785856247,-2.4596863426307722,0.9155731490846648,0.7994900379010812,20
GRU,7,0.0005,0.0,64,adam,relu,0.22087596356868744,-2.5036586951584816,0.9213732105309911,0.8102121220894418,20
RNN,5,0.001,0.2,64,adam,relu,0.3253917992115021,-2.516338531764594,0.9230389422293378,0.780591478192538,20
LSTM,3,0.0005,0.0,64,adam,relu,0.3708445727825165,-2.5297432656771925,0.9247966401542482,0.7956526781634687,20
LSTM,3,0.0005,0.2,64,adam,relu,0.27245280146598816,-2.5303921414134396,0.9248816393283964,0.7897490317681598,20
RNN,3,0.0005,0.2,64,rmsprop,relu,0.578294575214386,-2.6422294464448086,0.9394168261891648,0.8140799445998073,20
GRU,5,0.0005,0.2,64,adam,relu,0.2302926629781723,-2.680540444737272,0.9443445566819263,0.8106657563887797,20
GRU,3,0.0005,0.2,64,adam,relu,0.3606627285480499,-2.7480935353750486,0.9529714597561705,0.8267296152089051,20
LSTM,7,0.0005,0.2,64,adam,relu,0.21268843114376068,-2.7655773483665302,0.9551915470374049,0.8241683287468998,20
RNN,5,0.0005,0.0,64,adam,relu,0.36370357871055603,-2.788228924787522,0.9580601846269764,0.8231654711441844,20
LSTM,3,0.0005,0.2,64,rmsprop,relu,0.4578908085823059,-2.83417669269741,0.9638528714564691,0.8292874066361486,20
LSTM,5,0.0005,0.0,64,rmsprop,relu,0.2474064975976944,-2.854509882679744,0.9664052172095389,0.843261572822675,20
RNN,3,0.0005,0.0,64,adam,relu,0.5294272899627686,-2.9048720249997473,0.9726981429263112,0.8327999520317911,20
